1 -3 1 12 999 10 10 1 32 1 1 1 0 1
2 -5 2 12 999 10 10 1 32 1 1 1 0 1
3 -7 3 12 999 10 10 1 32 1 1 1 0 1
4 -9 4 12 999 10 10 1 32 1 1 1 0 1
5 -11 5 12 999 10 10 1 32 1 1 1 0 1
6 -13 6 12 999 10 10 1 32 1 1 1 0 1
7 -15 7 12 999 10 10 1 32 1 1 1 0 1
8 -17 8 12 999 10 10 1 32 1 1 1 0 1
9 -19 9 12 999 10 10 1 32 1 1 1 0 1
10 -21 10 12 999 10 10 1 32 1 1 1 0 1
11 -23 11 12 999 10 10 1 32 1 1 1 0 1
12 -25 12 12 999 10 10 1 32 1 1 0 0 0
13 -27 13 12 999 10 10 1 32 1 1 0 0 0
14 -29 14 12 999 10 10 1 32 1 1 0 0 0
15 -31 15 12 999 10 10 1 32 1 1 0 0 0
16 -33 16 12 999 10 10 1 32 1 1 0 0 0
17 -35 17 12 999 10 10 1 32 1 1 0 0 0
18 -37 18 12 999 10 10 1 32 1 1 0 0 0
19 -39 19 12 999 10 10 1 32 1 1 1 0 1
20 -41 20 12 999 10 10 1 32 1 1 1 0 1
21 -43 21 12 999 10 10 1 32 1 1 1 0 1
22 -45 22 12 999 10 10 1 32 1 1 0 0 0
23 -47 23 12 999 10 10 1 32 1 1 0 0 0
24 -49 24 12 999 10 10 1 32 1 1 0 0 0
